Team;Total MIN;EFG%;FTA RATE;TOV%;OREB%;OPP EFG%;OPP FTA RATE;OPP TOV%;OPP OREB%;Season
L.A. Lakers;3986;47.3;0.276;13.8;29.0;51.8;0.311;13.5;28.0;2014-2015
Philadelphia;3961;45.9;0.288;18.3;29.3;49.7;0.298;17.2;31.4;2014-2015
New York;3971;47.0;0.234;15.8;28.9;51.2;0.308;15.1;30.9;2014-2015
Minnesota;3961;46.8;0.309;15.6;31.1;53.7;0.246;15.8;31.8;2014-2015
San Antonio;3951;53.7;0.240;15.0;26.1;48.2;0.242;14.4;27.5;2013-2014
Oklahoma City;3961;52.0;0.303;15.8;29.4;48.8;0.304;15.7;27.8;2013-2014
L.A. Clippers;3951;52.6;0.353;14.3;28.8;48.4;0.294;15.8;31.0;2013-2014
Indiana;3956;49.0;0.290;16.2;29.6;46.0;0.261;14.6;27.9;2013-2014
Houston;3966;53.1;0.386;16.5;30.6;48.9;0.255;14.3;30.0;2013-2014
Miami;3976;55.4;0.300;15.9;24.4;51.1;0.283;18.0;31.4;2013-2014
Portland;3971;50.4;0.270;14.2;32.0;48.8;0.253;12.4;28.7;2013-2014
Golden State;3966;51.7;0.247;15.5;28.4;47.7;0.292;15.3;27.6;2013-2014
Memphis;3961;49.4;0.248;15.0;32.6;49.7;0.259;15.5;28.2;2013-2014
Dallas;3966;52.6;0.253;14.1;27.6;51.5;0.303;16.7;30.6;2013-2014
Chicago;3986;47.1;0.290;16.2;32.1;47.1;0.250;15.6;28.7;2013-2014
Phoenix;3951;51.9;0.293;15.8;29.8;49.6;0.309;15.8;30.1;2013-2014
Toronto;3991;49.8;0.306;15.1;31.2;49.3;0.315;15.9;29.9;2013-2014
Brooklyn;3976;51.4;0.313;15.5;26.0;50.9;0.311;16.9;31.4;2013-2014
Washington;4011;50.6;0.248;15.3;28.6;50.4;0.288;16.7;28.1;2013-2014
Charlotte ;3981;48.1;0.297;13.1;26.9;49.1;0.241;14.2;27.0;2013-2014
Minnesota;3971;48.6;0.321;14.0;31.7;51.8;0.233;16.6;28.5;2013-2014
Atlanta ;3966;51.5;0.266;15.9;25.6;51.0;0.262;15.8;28.9;2013-2014
New York;3971;50.5;0.248;14.1;29.1;51.4;0.320;15.8;29.5;2013-2014
Denver;3951;49.7;0.306;16.0;31.0;50.0;0.306;14.5;29.7;2013-2014
New Orleans;3971;49.5;0.286;14.7;30.5;51.5;0.331;15.4;30.6;2013-2014
Cleveland;3986;47.9;0.268;14.9;31.4;50.8;0.263;14.7;28.9;2013-2014
Detroit;3956;48.2;0.296;15.2;34.7;52.0;0.288;15.6;30.7;2013-2014
Sacramento;3966;48.4;0.331;15.9;31.6;51.2;0.318;14.2;27.5;2013-2014
L.A. Lakers;3941;50.5;0.263;15.2;23.5;51.3;0.264;14.2;32.4;2013-2014
Boston;3946;47.7;0.248;16.3;31.4;50.5;0.299;15.1;29.2;2013-2014
Utah;3956;48.4;0.271;15.8;29.7;51.8;0.293;13.6;29.2;2013-2014
Orlando;3991;48.7;0.253;15.6;26.7;50.4;0.274;14.6;28.6;2013-2014
Philadelphia;3971;47.5;0.268;16.8;29.0;52.4;0.324;16.8;31.6;2013-2014
Milwaukee  ;3976;47.9;0.274;16.1;31.0;52.0;0.299;15.0;32.2;2013-2014
Miami;3976;55.2;0.297;15.1;26.4;48.7;0.262;17.0;32.2;2012-2013
Oklahoma City;3966;52.7;0.338;16.0;29.1;46.9;0.254;15.5;29.8;2012-2013
San Antonio;3976;53.1;0.258;15.3;24.3;48.0;0.235;15.5;28.5;2012-2013
Denver;3981;51.5;0.308;15.7;34.5;49.3;0.264;16.4;32.5;2012-2013
L.A. Clippers;3946;52.6;0.286;15.9;32.3;49.2;0.306;17.5;30.3;2012-2013
Memphis;3961;47.2;0.261;15.5;34.4;47.5;0.279;17.2;29.8;2012-2013
New York;3946;51.5;0.258;13.2;29.1;50.8;0.286;16.7;29.2;2012-2013
Brooklyn;3971;49.8;0.299;16.2;34.3;50.3;0.238;14.8;29.9;2012-2013
Indiana;3918;47.9;0.293;16.5;33.6;45.3;0.260;14.8;29.9;2012-2013
Golden State;3961;50.6;0.255;15.7;28.5;48.6;0.282;14.1;28.8;2012-2013
Chicago;3966;47.0;0.259;15.7;33.2;47.7;0.278;15.0;30.1;2012-2013
Houston;3956;52.5;0.308;16.9;30.5;50.2;0.253;15.2;29.0;2012-2013
L.A. Lakers;3951;51.2;0.345;15.7;30.9;49.6;0.222;13.6;29.8;2012-2013
Atlanta ;3971;51.7;0.244;15.7;25.4;49.6;0.237;16.1;29.9;2012-2013
Utah;3976;49.2;0.281;15.9;32.9;50.1;0.298;15.8;30.3;2012-2013
Boston;3968;50.3;0.263;15.4;24.6;48.2;0.292;16.2;31.0;2012-2013
Dallas;3996;50.6;0.242;14.4;25.9;49.2;0.302;15.2;30.2;2012-2013
Milwaukee  ;3966;47.6;0.236;14.6;31.5;49.2;0.265;16.6;32.2;2012-2013
Philadelphia;3951;48.1;0.200;14.1;29.1;49.5;0.264;15.5;30.5;2012-2013
Toronto;3996;48.8;0.274;14.8;29.6;50.0;0.331;15.4;31.2;2012-2013
Portland;3971;49.8;0.250;15.7;29.4;51.2;0.248;14.0;29.8;2012-2013
Minnesota;3946;47.3;0.305;15.7;31.2;51.1;0.248;16.8;29.8;2012-2013
Detroit;3961;48.7;0.282;16.4;32.4;50.5;0.274;14.9;30.5;2012-2013
Washington;3971;47.5;0.261;16.1;27.9;48.3;0.279;15.4;29.4;2012-2013
Sacramento;3966;49.1;0.271;15.4;30.6;51.7;0.290;15.4;32.7;2012-2013
New Orleans ;3956;48.9;0.248;16.2;33.2;52.0;0.274;14.7;29.5;2012-2013
Phoenix;3961;47.7;0.234;16.4;30.8;51.2;0.274;16.1;31.3;2012-2013
Cleveland;3946;47.3;0.265;15.0;32.6;52.3;0.304;16.3;30.5;2012-2013
Charlotte ;3961;46.0;0.310;15.1;30.5;52.4;0.264;15.1;32.1;2012-2013
Orlando;3956;48.5;0.197;15.6;29.3;50.8;0.265;13.3;29.3;2012-2013
Chicago;3188;49.0;0.255;15.4;36.1;45.0;0.236;14.7;29.7;2011-2012
San Antonio;3188;52.8;0.261;14.4;28.2;48.9;0.222;14.6;28.0;2011-2012
Oklahoma City;3198;51.6;0.334;17.2;30.4;46.5;0.270;15.0;31.3;2011-2012
Miami;3208;50.5;0.307;16.3;29.9;47.9;0.277;18.0;30.7;2011-2012
Indiana;3198;47.4;0.321;15.1;33.3;47.6;0.305;16.1;31.1;2011-2012
L.A. Lakers;3213;49.1;0.299;16.2;32.7;47.6;0.213;12.1;28.1;2011-2012
Memphis;3188;47.3;0.277;15.7;33.5;48.5;0.297;18.5;31.2;2011-2012
Atlanta ;3233;50.0;0.259;15.1;27.9;48.0;0.247;16.3;29.7;2011-2012
L.A. Clippers;3193;50.2;0.287;14.7;33.1;49.2;0.329;16.1;30.8;2011-2012
Boston;3188;49.6;0.257;16.2;24.5;45.2;0.285;17.1;31.4;2011-2012
Denver;3208;51.6;0.326;16.0;31.6;50.8;0.243;16.2;29.5;2011-2012
Orlando;3193;50.6;0.292;16.5;30.6;48.8;0.246;14.5;28.0;2011-2012
Dallas;3213;48.9;0.246;14.9;26.8;47.9;0.270;15.7;28.6;2011-2012
New York;3188;49.2;0.306;16.9;30.9;48.5;0.304;18.0;29.8;2011-2012
Utah;3233;48.1;0.302;15.0;34.0;49.3;0.325;15.5;29.7;2011-2012
Philadelphia;3183;48.0;0.217;12.3;27.7;46.0;0.255;15.3;28.8;2011-2012
Houston;3213;49.2;0.235;15.4;30.9;49.0;0.275;15.6;30.8;2011-2012
Phoenix;3168;49.9;0.257;15.0;29.4;49.1;0.262;15.0;31.3;2011-2012
Milwaukee  ;3173;48.1;0.250;14.8;31.4;48.9;0.281;16.8;32.5;2011-2012
Portland;3193;48.8;0.263;15.2;30.3;50.4;0.266;16.0;30.9;2011-2012
Minnesota;3188;47.7;0.306;16.0;31.1;49.1;0.248;13.9;30.7;2011-2012
Detroit;3193;46.8;0.279;17.2;32.2;50.0;0.295;15.9;31.1;2011-2012
Golden State;3183;50.5;0.227;14.7;25.6;49.6;0.318;15.7;34.2;2011-2012
Toronto;3193;47.5;0.274;16.7;29.4;47.5;0.350;14.5;29.2;2011-2012
New Jersey;3178;47.3;0.269;16.5;31.4;51.3;0.282;15.6;32.3;2011-2012
Sacramento;3183;47.2;0.268;15.0;32.1;51.5;0.262;16.0;33.0;2011-2012
Cleveland;3193;46.3;0.307;16.6;32.3;50.8;0.270;14.9;31.7;2011-2012
New Orleans ;3188;47.6;0.274;17.3;31.0;48.5;0.287;15.4;30.4;2011-2012
Washington;3173;47.2;0.253;16.3;30.8;49.2;0.302;16.2;32.2;2011-2012
Charlotte ;3178;43.9;0.276;15.7;28.5;51.2;0.275;14.6;32.2;2011-2012
Chicago;3966;50.1;0.305;15.4;33.2;46.3;0.291;15.4;28.3;2010-2011
San Antonio;3956;52.7;0.299;14.3;27.6;49.1;0.248;14.2;28.9;2010-2011
Miami;3956;52.4;0.363;15.1;28.7;47.5;0.299;14.3;28.5;2010-2011
Dallas;3941;52.5;0.286;15.1;27.8;48.8;0.275;14.7;28.7;2010-2011
L.A. Lakers;3966;50.2;0.293;14.1;32.5;47.7;0.236;14.7;30.8;2010-2011
Boston;3956;51.9;0.305;15.9;25.7;46.9;0.310;16.9;29.1;2010-2011
Oklahoma City;4001;50.1;0.363;14.8;30.6;49.3;0.307;14.7;30.3;2010-2011
Orlando;3966;52.1;0.328;16.2;30.4;47.5;0.295;15.0;27.7;2010-2011
Denver;3941;52.6;0.367;14.7;28.3;50.0;0.296;14.3;28.4;2010-2011
Portland;3961;48.6;0.278;14.5;33.1;51.0;0.301;17.5;31.8;2010-2011
Memphis;3976;49.3;0.291;15.0;33.3;50.2;0.300;17.9;31.8;2010-2011
New Orleans ;3966;49.3;0.296;14.5;28.9;50.1;0.286;16.1;27.9;2010-2011
Atlanta ;3946;50.1;0.269;15.1;27.4;49.5;0.273;13.8;29.0;2010-2011
Houston;3976;50.3;0.299;14.1;31.5;50.0;0.280;14.3;31.0;2010-2011
New York;3956;51.3;0.304;14.1;27.3;51.1;0.315;15.7;32.4;2010-2011
Philadelphia;3986;49.4;0.273;13.8;27.8;48.7;0.299;15.2;28.6;2010-2011
Phoenix;4001;52.2;0.283;14.7;27.5;51.3;0.280;15.0;31.9;2010-2011
Utah;3976;49.8;0.313;15.4;31.4;50.5;0.354;15.7;32.1;2010-2011
Indiana;3956;48.6;0.300;16.0;29.7;48.7;0.315;14.5;29.7;2010-2011
Golden State;3966;51.0;0.241;15.1;30.0;50.9;0.333;16.7;34.1;2010-2011
Milwaukee  ;3966;46.7;0.287;14.8;28.7;48.1;0.307;16.6;29.0;2010-2011
Charlotte ;3961;48.2;0.314;16.0;29.8;50.0;0.294;14.5;29.5;2010-2011
L.A. Clippers;3971;49.6;0.332;17.4;33.0;49.9;0.324;14.6;30.8;2010-2011
Detroit;3976;49.5;0.279;14.4;31.7;52.6;0.306;15.6;31.9;2010-2011
New Jersey;4001;47.4;0.283;15.2;30.4;50.3;0.320;13.4;30.0;2010-2011
Sacramento;3971;48.0;0.284;16.7;33.4;51.3;0.305;15.2;29.8;2010-2011
Washington;3986;47.1;0.290;16.0;31.7;51.2;0.327;16.4;32.9;2010-2011
Toronto;3956;49.1;0.293;15.6;31.4;52.2;0.326;14.8;31.5;2010-2011
Cleveland;3951;47.2;0.312;15.1;28.3;52.4;0.278;14.4;30.1;2010-2011
Minnesota;3956;48.3;0.282;17.4;33.6;51.4;0.323;14.7;30.2;2010-2011
Cleveland;3956;53.2;0.341;15.0;29.3;48.2;0.288;13.8;27.5;2009-2010
Orlando;3946;53.6;0.340;15.2;28.0;47.7;0.272;13.8;27.4;2009-2010
L.A. Lakers;3966;49.6;0.289;14.1;31.4;48.4;0.260;15.0;29.2;2009-2010
Dallas;3976;50.6;0.277;13.7;27.9;49.5;0.272;15.4;30.3;2009-2010
Phoenix;3946;54.6;0.312;15.2;31.1;49.1;0.295;13.5;32.7;2009-2010
Atlanta ;3971;50.6;0.281;13.0;32.0;49.6;0.280;15.1;31.5;2009-2010
Denver;3956;50.9;0.376;14.4;30.4;49.5;0.326;15.7;31.3;2009-2010
Utah;3951;52.4;0.340;16.0;31.3;49.2;0.353;15.9;28.2;2009-2010
Boston;3956;52.2;0.332;16.0;27.4;48.7;0.337;16.9;30.3;2009-2010
Oklahoma City;3961;49.4;0.333;15.8;32.0;48.3;0.300;15.9;30.6;2009-2010
Portland;3971;49.9;0.315;13.8;32.0;50.2;0.294;15.1;29.8;2009-2010
San Antonio;3956;51.5;0.296;14.7;30.3;48.3;0.283;13.6;28.0;2009-2010
Miami;3976;49.6;0.296;14.4;29.4;48.0;0.326;15.8;29.9;2009-2010
Milwaukee  ;3996;48.2;0.239;14.1;29.8;48.6;0.348;16.2;27.4;2009-2010
Charlotte ;3976;49.0;0.346;17.2;31.5;49.1;0.262;16.7;30.2;2009-2010
Houston;3981;49.4;0.292;15.1;30.9;51.1;0.281;15.3;30.1;2009-2010
Chicago;3981;47.7;0.287;15.1;30.3;48.4;0.284;14.0;29.1;2009-2010
Memphis;3981;49.4;0.320;16.0;35.5;52.0;0.271;14.9;30.2;2009-2010
Toronto;3956;52.1;0.319;14.2;28.8;51.3;0.314;13.4;30.8;2009-2010
New Orleans ;3966;50.6;0.243;14.3;28.2;52.3;0.274;15.2;30.4;2009-2010
Indiana;3941;49.1;0.296;15.4;25.5;49.0;0.341;15.3;31.0;2009-2010
L.A. Clippers;3941;49.1;0.283;16.8;30.5;50.9;0.281;13.8;30.3;2009-2010
New York;3976;50.9;0.256;14.6;26.8;52.6;0.275;15.0;30.9;2009-2010
Detroit;3956;47.4;0.303;14.9;34.6;52.6;0.344;15.9;30.3;2009-2010
Philadelphia;3961;49.6;0.270;15.6;31.0;51.8;0.302;15.5;30.7;2009-2010
Golden State;3946;51.4;0.294;14.4;25.4;52.5;0.340;17.3;34.1;2009-2010
Washington;3966;48.1;0.283;15.9;31.7;50.2;0.313;14.6;30.9;2009-2010
Sacramento;3976;49.1;0.286;15.6;31.5;50.5;0.315;14.3;30.0;2009-2010
Minnesota;3956;47.8;0.278;16.7;30.8;52.5;0.285;14.6;29.5;2009-2010
New Jersey;3956;45.8;0.307;15.5;28.5;51.7;0.307;15.0;31.4;2009-2010
Cleveland;3956;51.9;0.312;14.1;30.6;46.8;0.294;15.4;29.3;2008-2009
L.A. Lakers;3956;51.3;0.299;14.0;32.6;49.0;0.283;16.2;30.2;2008-2009
Boston;3976;52.8;0.328;16.9;31.4;47.0;0.329;15.8;28.5;2008-2009
Orlando;3946;52.0;0.351;14.9;27.3;46.5;0.277;14.0;28.3;2008-2009
Denver;3946;51.2;0.382;16.0;31.1;48.5;0.331;16.1;31.7;2008-2009
Portland;3966;51.1;0.306;14.5;35.5;49.9;0.282;14.9;29.2;2008-2009
San Antonio;3981;51.3;0.251;13.0;25.8;48.7;0.249;13.0;26.0;2008-2009
Houston;3961;50.1;0.292;15.4;30.8;47.9;0.257;13.5;28.6;2008-2009
Dallas;3961;50.4;0.274;13.6;29.7;49.3;0.282;13.9;29.3;2008-2009
New Orleans ;3951;50.1;0.288;14.1;28.2;49.6;0.297;14.9;29.3;2008-2009
Utah;3976;50.4;0.355;15.5;31.6;50.5;0.343;16.9;30.7;2008-2009
Atlanta ;3941;50.4;0.323;14.1;29.5;49.4;0.272;15.1;31.8;2008-2009
Phoenix;3951;54.5;0.336;16.1;30.8;51.1;0.300;14.6;31.8;2008-2009
Miami;3991;50.0;0.282;13.6;28.2;50.1;0.325;16.5;30.7;2008-2009
Chicago;3986;49.3;0.300;15.3;32.1;49.3;0.303;15.1;32.5;2008-2009
Philadelphia;3951;48.5;0.339;15.4;34.2;50.7;0.276;17.0;32.0;2008-2009
Detroit;3981;48.3;0.282;13.3;31.1;48.5;0.320;13.2;28.9;2008-2009
Indiana;3966;50.1;0.267;14.8;29.1;49.9;0.354;14.3;29.3;2008-2009
Charlotte ;3986;49.4;0.312;17.3;32.1;49.8;0.304;16.3;31.4;2008-2009
Milwaukee  ;3956;48.3;0.306;14.9;31.0;50.3;0.398;17.4;30.1;2008-2009
New Jersey;3966;49.7;0.303;14.3;28.8;50.9;0.357;14.7;29.7;2008-2009
Toronto;3961;49.4;0.279;14.3;27.6;51.1;0.258;14.2;29.4;2008-2009
New York;3961;50.3;0.268;14.6;27.7;52.0;0.284;14.7;30.4;2008-2009
Golden State;3976;49.7;0.339;14.6;29.3;50.8;0.323;14.9;34.8;2008-2009
Memphis;3961;48.6;0.329;16.6;29.7;51.5;0.320;15.9;30.3;2008-2009
Minnesota;3961;48.1;0.289;15.2;32.1;51.5;0.327;13.4;28.3;2008-2009
Oklahoma City;3961;47.1;0.308;17.0;30.9;51.4;0.284;14.5;28.4;2008-2009
L.A. Clippers;3976;48.1;0.275;15.8;28.7;51.2;0.299;14.1;32.1;2008-2009
Washington;3941;48.0;0.293;15.1;31.3;53.3;0.298;15.1;31.1;2008-2009
Sacramento;3981;49.1;0.315;16.0;28.9;52.6;0.355;14.9;33.1;2008-2009
Boston;3951;52.2;0.346;16.4;30.6;45.7;0.341;17.3;29.3;2007-2008
Detroit;3946;49.5;0.300;13.1;32.7;47.0;0.328;15.2;30.0;2007-2008
L.A. Lakers;3956;52.5;0.333;14.5;29.7;48.5;0.284;14.7;29.8;2007-2008
New Orleans ;3961;51.2;0.251;13.0;30.0;50.1;0.239;15.1;28.3;2007-2008
San Antonio;3946;50.4;0.276;14.0;26.8;47.7;0.266;14.3;26.7;2007-2008
Houston;3946;49.2;0.276;15.0;32.3;46.5;0.290;14.6;28.9;2007-2008
Phoenix;3956;55.1;0.292;14.7;25.3;48.8;0.254;13.7;32.6;2007-2008
Utah;3941;52.8;0.349;15.4;32.7;50.1;0.393;16.8;29.0;2007-2008
Orlando;3956;53.7;0.355;15.1;27.4;48.4;0.288;14.0;29.1;2007-2008
Dallas;3946;50.2;0.318;13.8;30.0;47.4;0.331;13.3;28.4;2007-2008
Denver;3971;51.0;0.358;14.4;29.2;49.9;0.278;16.2;31.4;2007-2008
Golden State;3956;51.1;0.276;13.1;30.1;50.9;0.340;16.8;32.8;2007-2008
Cleveland;3971;48.0;0.308;15.2;33.4;49.4;0.320;14.5;28.5;2007-2008
Washington;3981;48.9;0.297;14.4;32.0;51.3;0.288;15.2;30.5;2007-2008
Portland;3981;48.9;0.281;14.3;30.3;49.1;0.276;13.9;31.6;2007-2008
Toronto;3966;51.1;0.247;12.7;26.9;50.5;0.264;15.2;29.1;2007-2008
Philadelphia;3951;48.2;0.321;15.6;35.1;50.4;0.265;17.1;31.2;2007-2008
Sacramento;3966;50.3;0.346;16.6;29.0;51.0;0.340;15.8;31.1;2007-2008
Atlanta ;3971;48.3;0.340;16.0;32.9;50.1;0.289;14.7;31.8;2007-2008
Indiana;3951;49.8;0.292;15.2;27.8;49.8;0.358;16.0;29.9;2007-2008
New Jersey;3966;48.1;0.347;16.0;30.0;49.7;0.353;14.3;29.4;2007-2008
Chicago;3961;47.0;0.296;15.4;32.5;49.6;0.337;16.1;31.3;2007-2008
Charlotte ;3976;49.2;0.323;15.7;29.4;50.5;0.314;15.3;32.6;2007-2008
Milwaukee  ;3971;48.2;0.294;15.8;33.2;52.4;0.326;14.7;30.6;2007-2008
L.A. Clippers;3961;46.5;0.338;15.3;26.7;50.3;0.314;14.4;29.7;2007-2008
New York;3976;47.5;0.310;15.5;32.1;51.8;0.310;13.6;30.3;2007-2008
Memphis;3961;50.0;0.311;15.7;27.7;52.1;0.253;13.8;29.4;2007-2008
Minnesota;3946;48.4;0.248;15.6;31.4;51.3;0.350;14.5;29.7;2007-2008
Seattle;3966;46.7;0.265;16.3;30.5;50.3;0.287;13.4;30.0;2007-2008
Miami;3966;48.2;0.300;15.9;26.4;51.0;0.325;15.5;31.9;2007-2008
Dallas;3951;50.9;0.317;15.2;32.0;47.7;0.355;16.0;28.1;2006-2007
Phoenix;3981;55.1;0.267;14.9;26.2;49.2;0.268;15.5;31.7;2006-2007
San Antonio;3956;52.1;0.313;15.3;27.9;47.1;0.272;15.8;28.5;2006-2007
Detroit;3976;48.8;0.307;13.7;30.7;47.7;0.317;16.4;32.2;2006-2007
Houston;3971;49.9;0.292;15.3;28.7;46.6;0.308;15.4;27.5;2006-2007
Utah;3961;50.2;0.380;16.7;35.2;49.6;0.409;16.1;27.9;2006-2007
Cleveland;3976;48.4;0.320;15.5;32.7;48.0;0.331;16.6;27.9;2006-2007
Chicago;3956;49.3;0.313;16.8;31.9;47.3;0.346;18.4;29.3;2006-2007
Toronto;3951;50.4;0.303;14.3;25.0;50.3;0.290;16.1;28.9;2006-2007
Denver;3956;50.1;0.360;16.7;32.2;49.9;0.274;16.6;32.2;2006-2007
Miami;3971;50.6;0.321;16.0;27.9;48.5;0.313;15.8;30.7;2006-2007
Golden State;3951;51.2;0.300;15.9;28.5;50.6;0.352;18.5;33.8;2006-2007
L.A. Lakers;4006;51.1;0.333;16.1;30.0;50.0;0.345;15.3;31.0;2006-2007
New Jersey;3976;50.4;0.338;15.8;27.5;49.0;0.349;15.5;28.6;2006-2007
Washington;3966;49.1;0.356;14.4;31.2;51.7;0.320;16.4;32.2;2006-2007
L.A. Clippers;3946;48.1;0.355;16.4;30.7;48.8;0.333;15.0;28.8;2006-2007
Orlando;3956;50.0;0.393;18.6;33.3;48.0;0.376;16.5;30.3;2006-2007
New Orleans;3976;47.9;0.291;15.7;31.8;49.9;0.280;14.8;28.1;2006-2007
Indiana;3956;47.4;0.324;17.3;32.1;49.1;0.360;16.7;30.6;2006-2007
Philadelphia;3976;48.0;0.333;16.5;30.6;50.1;0.293;16.8;32.2;2006-2007
Charlotte ;4001;48.0;0.322;15.8;29.9;50.0;0.373;16.7;31.8;2006-2007
New York;4001;49.4;0.377;18.3;33.7;50.4;0.325;14.7;28.6;2006-2007
Sacramento;3961;49.1;0.379;15.1;26.7;51.3;0.317;16.9;30.8;2006-2007
Minnesota;4001;49.0;0.291;16.6;29.2;49.8;0.297;15.1;30.2;2006-2007
Portland;3991;48.3;0.314;16.6;32.6;50.8;0.343;15.2;30.3;2006-2007
Seattle;3966;49.9;0.288;16.5;31.2;51.5;0.323;16.1;32.4;2006-2007
Atlanta ;3976;47.1;0.346;17.3;32.8;50.3;0.365;16.5;32.4;2006-2007
Milwaukee  ;3971;50.4;0.286;16.1;30.6;52.2;0.316;16.6;34.3;2006-2007
Boston;3971;47.9;0.337;17.6;30.9;50.2;0.375;16.3;29.5;2006-2007
Memphis;3996;50.4;0.374;17.0;29.1;52.9;0.313;15.9;31.8;2006-2007
Detroit;3966;49.7;0.297;12.8;31.7;47.7;0.260;15.7;32.0;2005-2006
San Antonio;3961;51.3;0.298;15.3;28.9;45.7;0.298;15.4;29.2;2005-2006
Dallas;3976;49.5;0.364;15.0;34.7;47.5;0.342;15.6;31.0;2005-2006
Phoenix;3991;53.7;0.206;13.5;25.6;49.0;0.274;15.1;31.0;2005-2006
Miami;3951;51.7;0.363;15.6;29.7;47.7;0.340;14.0;27.4;2005-2006
Cleveland;3966;49.2;0.362;15.1;31.3;49.0;0.304;14.4;28.3;2005-2006
Memphis;3971;49.6;0.339;15.7;29.8;46.9;0.315;16.8;31.0;2005-2006
New Jersey;3956;47.8;0.346;14.9;27.4;47.6;0.359;15.7;27.0;2005-2006
L.A. Clippers;3961;48.7;0.332;15.4;28.6;47.1;0.328;13.7;28.1;2005-2006
L.A. Lakers;3971;49.5;0.329;15.0;31.6;48.6;0.324;15.2;29.9;2005-2006
Denver;3986;48.8;0.347;15.4;30.0;49.3;0.309;16.8;31.8;2005-2006
Sacramento;3966;49.2;0.334;15.6;28.9;48.8;0.281;15.6;30.6;2005-2006
Washington;3966;48.4;0.375;14.8;32.9;50.4;0.343;17.1;32.1;2005-2006
Chicago;3981;48.7;0.292;15.8;30.3;46.4;0.379;15.8;29.7;2005-2006
Indiana;3946;48.7;0.344;16.8;30.4;46.4;0.317;14.9;30.1;2005-2006
Utah;3976;46.7;0.397;17.4;35.6;49.0;0.406;15.7;29.8;2005-2006
Milwaukee  ;3971;49.2;0.322;15.7;30.9;50.4;0.350;15.4;28.7;2005-2006
New Orleans;3961;46.4;0.339;14.7;29.7;50.2;0.320;16.0;29.1;2005-2006
Philadelphia;3981;48.7;0.356;14.9;28.5;50.0;0.315;16.3;32.4;2005-2006
Orlando;3981;49.6;0.369;16.8;33.0;49.0;0.361;14.9;30.9;2005-2006
Seattle;3966;50.4;0.314;15.7;34.0;52.7;0.342;15.5;34.1;2005-2006
Golden State;3966;47.9;0.323;14.8;29.6;49.2;0.328;16.1;31.4;2005-2006
Houston;3966;47.1;0.317;16.2;29.1;47.2;0.338;14.9;29.5;2005-2006
