Team;Total MIN;EFG%;FTA RATE;TOV%;OREB%;OPP EFG%;OPP FTA RATE;OPP TOV%;OPP OREB%;Season
Boston;3976;50.4;0.349;17.6;28.9;49.0;0.380;15.7;30.6;2005-2006
Minnesota;3971;48.0;0.299;16.0;29.6;47.5;0.320;15.4;32.7;2005-2006
Toronto;3991;50.0;0.315;13.9;28.6;53.0;0.352;15.2;30.3;2005-2006
Atlanta ;3976;48.6;0.340;16.9;33.4;51.3;0.369;16.2;33.3;2005-2006
Charlotte ;3981;46.4;0.319;14.9;30.5;51.4;0.356;18.7;32.2;2005-2006
New York;3986;48.1;0.417;19.0;34.2;51.1;0.390;15.1;30.3;2005-2006
Portland;3946;47.4;0.310;16.5;30.8;50.7;0.305;14.5;34.3;2005-2006
Phoenix;3956;53.4;0.296;14.0;30.4;47.8;0.237;14.1;34.4;2004-2005
Miami;3996;52.4;0.387;14.7;29.7;46.0;0.318;14.2;30.2;2004-2005
San Antonio;3961;49.2;0.329;15.1;32.1;45.2;0.307;16.7;30.3;2004-2005
Dallas;3946;49.2;0.346;14.2;31.9;47.2;0.316;16.5;32.6;2004-2005
Detroit;3991;47.2;0.335;15.4;34.0;46.1;0.276;15.4;30.7;2004-2005
Seattle;3951;49.5;0.328;15.1;35.7;49.6;0.333;14.8;31.9;2004-2005
Houston;3971;48.6;0.309;15.2;30.1;45.9;0.329;14.6;28.7;2004-2005
Sacramento;3971;49.6;0.287;13.7;31.5;49.3;0.290;15.4;33.3;2004-2005
Denver;3951;48.3;0.350;15.7;31.3;48.2;0.331;17.2;32.2;2004-2005
Chicago;3966;47.1;0.311;17.8;31.7;45.4;0.352;16.5;30.9;2004-2005
Boston;3976;50.1;0.357;16.5;30.5;48.1;0.364;16.3;32.9;2004-2005
Memphis;3941;48.9;0.323;16.3;30.8;46.6;0.351;17.7;33.7;2004-2005
Washington;3956;47.4;0.364;15.0;33.8;49.8;0.301;16.7;33.3;2004-2005
Indiana;3981;47.6;0.358;16.0;29.6;47.2;0.350;15.5;31.3;2004-2005
Minnesota;3951;48.9;0.275;14.5;32.1;47.2;0.277;12.9;31.8;2004-2005
Philadelphia;3971;47.5;0.326;16.0;28.1;48.5;0.347;17.4;29.7;2004-2005
Cleveland;3971;47.0;0.325;15.2;35.4;48.5;0.331;16.2;32.6;2004-2005
New Jersey;3981;46.3;0.318;15.5;29.8;47.9;0.374;17.1;29.9;2004-2005
L.A. Clippers;4006;47.7;0.357;17.1;33.8;48.0;0.308;14.8;31.3;2004-2005
Orlando;3941;47.8;0.350;16.8;32.8;48.4;0.338;15.1;31.8;2004-2005
Golden State;3981;47.5;0.278;14.2;30.3;49.1;0.305;16.0;33.4;2004-2005
L.A. Lakers;3956;48.5;0.322;15.5;32.4;49.3;0.279;12.7;32.0;2004-2005
New York;3976;48.5;0.312;15.8;31.6;50.1;0.351;15.7;31.4;2004-2005
Toronto;3961;49.2;0.316;14.0;26.9;49.9;0.323;15.2;31.8;2004-2005
Milwaukee  ;3956;47.5;0.339;14.9;32.2;49.9;0.303;14.0;31.3;2004-2005
Portland;3946;48.4;0.303;17.5;33.1;47.9;0.271;14.7;35.0;2004-2005
Utah;3956;46.9;0.361;17.4;35.1;49.9;0.445;15.9;30.5;2004-2005
Charlotte ;3976;45.5;0.306;15.4;32.7;49.7;0.350;16.7;32.4;2004-2005
New Orleans ;3986;44.6;0.279;16.5;32.9;49.1;0.337;15.8;32.5;2004-2005
Atlanta ;3971;46.4;0.299;17.1;32.6;51.3;0.375;15.7;30.4;2004-2005
Indiana;3961;47.1;0.319;16.2;32.0;45.9;0.291;17.8;29.4;2003-2004
Minnesota;3951;48.6;0.265;14.0;30.3;44.4;0.286;14.9;30.9;2003-2004
San Antonio;3951;47.3;0.322;16.2;31.9;43.3;0.289;16.9;29.0;2003-2004
L.A. Lakers;3971;48.1;0.352;14.6;31.3;47.1;0.296;16.2;29.9;2003-2004
Sacramento;3956;50.7;0.305;14.6;29.2;48.3;0.257;15.8;32.4;2003-2004
Detroit;3956;46.1;0.328;16.8;33.2;44.1;0.271;17.8;31.4;2003-2004
Dallas;3961;49.5;0.256;12.8;33.5;49.8;0.287;15.9;31.4;2003-2004
Memphis;3976;47.9;0.322;16.0;32.5;46.5;0.328;18.2;34.5;2003-2004
New Jersey;3941;47.1;0.291;16.2;28.9;46.0;0.290;17.7;28.9;2003-2004
Houston;3986;48.4;0.286;18.6;30.5;44.7;0.316;14.9;29.2;2003-2004
Denver;3946;46.7;0.319;16.4;33.7;48.1;0.303;18.0;33.6;2003-2004
Miami;3951;46.3;0.298;15.4;30.7;46.3;0.338;16.4;29.3;2003-2004
Utah;3956;45.6;0.356;18.8;37.3;46.8;0.414;17.3;30.9;2003-2004
Milwaukee  ;3956;47.7;0.330;14.4;30.8;48.5;0.288;15.2;31.0;2003-2004
New Orleans ;3966;46.0;0.293;16.4;33.2;47.6;0.291;17.1;31.9;2003-2004
Portland;3996;47.8;0.267;16.6;34.4;48.2;0.246;15.4;33.0;2003-2004
New York;3976;47.4;0.266;17.0;30.7;46.1;0.339;15.0;29.9;2003-2004
Golden State;3971;47.5;0.311;16.1;31.2;47.6;0.283;15.2;30.6;2003-2004
Seattle;3961;50.1;0.270;15.8;30.2;48.7;0.306;16.1;34.5;2003-2004
Boston;3941;48.6;0.327;17.2;27.9;47.9;0.325;18.1;34.2;2003-2004
Cleveland;3971;45.1;0.301;16.0;34.0;46.9;0.294;14.1;31.2;2003-2004
Philadelphia;3971;45.6;0.321;17.7;31.3;46.7;0.311;16.8;31.9;2003-2004
Toronto;3996;45.4;0.260;15.9;27.0;44.9;0.323;16.3;32.7;2003-2004
Phoenix;3946;47.5;0.280;16.2;29.7;48.2;0.314;16.9;33.9;2003-2004
Atlanta ;3981;46.5;0.303;17.6;30.8;47.6;0.307;15.0;31.4;2003-2004
L.A. Clippers;3961;45.3;0.350;17.6;36.2;49.4;0.312;14.7;32.3;2003-2004
Washington;3966;45.4;0.337;18.6;33.3;48.6;0.278;17.0;33.3;2003-2004
Chicago;3966;44.6;0.272;17.2;31.1;46.9;0.339;16.2;32.1;2003-2004
Orlando;3966;46.1;0.296;14.8;31.5;50.2;0.289;14.6;34.3;2003-2004
Dallas;3956;49.8;0.257;12.3;27.7;47.3;0.304;17.0;32.3;2002-2003
San Antonio;3966;49.7;0.348;17.1;31.1;45.3;0.259;16.3;31.3;2002-2003
Sacramento;3966;49.9;0.262;14.9;28.9;44.6;0.275;15.8;32.2;2002-2003
Minnesota;3961;48.8;0.268;14.6;31.0;47.2;0.270;14.5;30.5;2002-2003
Detroit;3981;47.3;0.322;15.1;29.4;46.1;0.302;15.7;29.3;2002-2003
L.A. Lakers;3986;48.6;0.311;15.3;32.8;47.7;0.317;15.3;30.7;2002-2003
Portland;3970;48.9;0.300;16.7;33.8;48.3;0.254;17.0;31.1;2002-2003
New Jersey;3951;46.8;0.333;15.8;31.7;46.0;0.300;17.8;29.8;2002-2003
Indiana;3981;46.9;0.344;15.7;31.8;45.8;0.298;16.4;30.6;2002-2003
Philadelphia;3971;46.6;0.339;15.8;32.4;48.8;0.320;18.2;29.6;2002-2003
New Orleans ;3981;46.5;0.285;16.1;34.5;46.4;0.295;15.9;30.3;2002-2003
Utah;3956;48.6;0.380;18.4;35.3;46.8;0.338;17.4;32.7;2002-2003
Boston;3966;47.0;0.306;15.1;26.6;47.1;0.323;17.3;30.9;2002-2003
Phoenix;3961;47.3;0.285;15.8;32.3;47.0;0.290;17.1;32.8;2002-2003
Houston;3986;47.4;0.316;17.0;33.1;46.2;0.270;14.4;30.2;2002-2003
Milwaukee  ;3981;50.0;0.287;13.7;28.7;49.4;0.318;15.5;33.4;2002-2003
Orlando;3961;47.8;0.307;15.1;30.0;48.6;0.326;17.2;32.0;2002-2003
Seattle;3971;47.2;0.270;14.7;31.4;48.4;0.283;16.4;31.2;2002-2003
Golden State;3951;47.2;0.343;16.4;37.1;48.2;0.290;14.2;33.7;2002-2003
New York;3971;48.6;0.241;15.1;28.0;48.5;0.339;15.5;31.1;2002-2003
Washington;3966;46.0;0.325;14.8;30.5;47.7;0.275;15.8;31.4;2002-2003
Atlanta ;3981;47.6;0.313;17.8;30.0;46.9;0.291;13.9;31.9;2002-2003
Chicago;3985;47.1;0.300;17.7;30.7;47.0;0.351;15.3;32.8;2002-2003
Memphis;3986;48.7;0.287;16.2;30.1;49.1;0.260;15.5;34.1;2002-2003
L.A. Clippers;3951;46.7;0.335;17.0;31.6;48.1;0.287;15.1;32.7;2002-2003
Miami;3966;43.9;0.259;15.9;30.6;47.0;0.343;16.0;29.1;2002-2003
Toronto;3961;45.8;0.282;15.7;31.8;48.9;0.298;15.0;32.2;2002-2003
Cleveland;3966;44.4;0.298;19.1;33.8;48.4;0.327;14.7;30.3;2002-2003
Denver;3946;42.8;0.283;20.0;34.5;47.7;0.384;18.5;30.3;2002-2003
Sacramento;3951;49.7;0.308;14.2;30.6;46.7;0.248;15.6;31.0;2001-2002
L.A. Lakers;3956;49.8;0.313;13.5;31.1;45.3;0.306;14.9;31.4;2001-2002
San Antonio;3971;49.2;0.353;15.7;30.1;45.3;0.244;15.8;31.5;2001-2002
Dallas;3976;50.7;0.288;12.7;28.5;48.5;0.319;14.8;31.7;2001-2002
New Jersey;3966;47.6;0.280;15.4;32.2;45.9;0.283;17.1;31.7;2001-2002
Detroit;3936;49.7;0.310;15.9;27.7;47.4;0.273;17.0;32.4;2001-2002
Minnesota;3961;49.0;0.255;14.5;34.3;48.2;0.294;14.5;29.7;2001-2002
Boston;3966;47.6;0.291;14.4;27.2;46.4;0.318;17.3;30.5;2001-2002
Portland;3966;48.5;0.285;15.7;34.5;48.9;0.272;16.1;29.7;2001-2002
Seattle;3966;50.5;0.250;15.1;32.0;48.5;0.279;16.8;34.4;2001-2002
Charlotte;3951;46.6;0.320;15.4;33.3;46.5;0.294;15.2;31.1;2001-2002
Orlando;3966;49.3;0.278;14.3;29.2;48.6;0.292;16.6;33.5;2001-2002
Utah;3966;47.2;0.381;17.8;36.2;48.4;0.371;18.1;31.7;2001-2002
Philadelphia;3946;45.2;0.327;16.9;34.1;46.0;0.277;16.3;29.8;2001-2002
Indiana;3981;47.7;0.328;16.2;30.2;46.9;0.303;15.2;31.4;2001-2002
Toronto;3951;46.3;0.255;15.8;34.3;47.1;0.315;16.9;32.9;2001-2002
Milwaukee  ;3981;50.7;0.269;15.2;28.7;47.7;0.287;13.9;32.1;2001-2002
L.A. Clippers;3961;47.6;0.304;16.1;34.9;47.7;0.260;14.0;32.7;2001-2002
Washington;3946;46.4;0.280;14.4;32.8;48.4;0.283;14.8;31.5;2001-2002
Miami;3986;46.3;0.268;16.6;29.7;45.5;0.339;15.4;29.0;2001-2002
Phoenix;3966;47.2;0.235;15.7;32.7;47.6;0.302;16.5;32.8;2001-2002
Atlanta ;3956;47.1;0.294;16.6;29.7;49.5;0.293;16.1;31.1;2001-2002
New York;3961;46.8;0.274;15.9;29.2;47.9;0.312;14.7;31.6;2001-2002
Cleveland;3971;47.7;0.301;15.8;31.9;49.3;0.302;14.1;31.0;2001-2002
Houston;3996;46.5;0.286;15.5;32.7;49.1;0.236;13.3;32.5;2001-2002
Denver;3961;45.5;0.256;16.0;34.1;49.2;0.328;15.6;33.2;2001-2002
Memphis;3956;46.2;0.288;17.6;30.5;48.6;0.262;15.8;33.7;2001-2002
Chicago;3961;45.6;0.302;16.6;29.8;49.7;0.321;15.6;31.5;2001-2002
Golden State;3956;45.2;0.335;17.5;37.3;48.8;0.304;14.9;33.1;2001-2002
San Antonio;3966;49.6;0.374;15.2;29.7;44.4;0.246;14.8;29.7;2000-2001
L.A. Lakers;3981;49.8;0.349;15.4;33.8;46.8;0.310;13.9;30.9;2000-2001
Philadelphia;3971;46.8;0.351;17.0;33.4;46.0;0.248;16.6;29.6;2000-2001
Sacramento;4016;48.4;0.298;15.2;30.7;46.0;0.241;16.7;32.1;2000-2001
Dallas;3961;49.8;0.291;14.6;27.2;46.7;0.333;16.3;32.2;2000-2001
Utah;3956;49.7;0.363;17.3;33.2;47.3;0.394;17.6;29.9;2000-2001
Milwaukee  ;3956;49.9;0.276;14.5;30.1;47.3;0.330;16.4;31.7;2000-2001
Phoenix;3961;46.0;0.292;16.1;30.5;46.0;0.331;18.4;29.8;2000-2001
Miami;3976;46.9;0.299;15.3;28.0;46.0;0.290;17.4;30.0;2000-2001
Portland;3956;49.7;0.296;16.8;33.3;47.0;0.300;16.3;30.0;2000-2001
New York;3981;47.6;0.279;16.3;27.6;45.3;0.327;16.7;29.3;2000-2001
Minnesota;3966;48.2;0.253;14.8;31.5;47.8;0.328;16.2;31.8;2000-2001
Toronto;3991;46.8;0.285;14.1;33.9;47.6;0.281;15.1;30.0;2000-2001
Charlotte;3976;45.7;0.330;15.6;31.5;45.6;0.294;15.9;29.0;2000-2001
Houston;3966;49.2;0.321;15.9;30.5;47.5;0.277;14.4;30.9;2000-2001
Seattle;3961;49.1;0.299;16.4;32.1;48.8;0.269;16.0;33.2;2000-2001
Orlando;3991;47.4;0.301;15.9;32.1;46.4;0.395;18.0;33.8;2000-2001
Indiana;3996;47.1;0.312;16.4;29.7;45.2;0.310;14.7;31.5;2000-2001
Denver;3956;47.0;0.286;14.7;30.6;47.6;0.296;13.9;31.0;2000-2001
Boston;3966;47.3;0.338;16.6;28.0;49.3;0.341;18.1;31.0;2000-2001
Detroit;3971;45.3;0.325;16.4;32.5;46.6;0.317;16.0;30.9;2000-2001
L.A. Clippers;4006;47.6;0.319;17.1;32.2;46.6;0.292;13.8;31.8;2000-2001
Cleveland;3966;45.9;0.312;17.7;33.1;47.7;0.323;16.1;32.2;2000-2001
New Jersey;3946;45.2;0.328;15.7;29.2;48.8;0.346;17.0;32.7;2000-2001
Atlanta ;3946;45.6;0.272;17.8;31.3;47.2;0.326;15.7;30.9;2000-2001
Vancouver;3956;46.4;0.289;16.8;29.3;49.1;0.265;15.9;32.5;2000-2001
Washington;3936;46.0;0.348;18.1;32.8;50.3;0.317;15.9;31.6;2000-2001
Golden State;3956;42.9;0.282;16.5;35.7;50.4;0.298;17.1;32.0;2000-2001
Chicago;3971;45.0;0.298;17.3;30.2;49.9;0.348;16.3;32.7;2000-2001
L.A. Lakers;3961;48.4;0.347;14.6;32.4;44.3;0.300;15.2;29.5;1999-2000
Portland;3956;50.1;0.316;16.6;33.5;46.1;0.303;15.8;30.7;1999-2000
Indiana;3946;50.3;0.302;14.9;27.6;46.9;0.261;14.4;30.9;1999-2000
Utah;3951;49.0;0.337;16.3;32.9;47.7;0.343;17.0;30.2;1999-2000
Phoenix;3961;49.1;0.286;17.3;31.6;45.4;0.331;18.0;32.4;1999-2000
San Antonio;3971;48.8;0.346;16.2;30.1;45.1;0.255;15.5;29.7;1999-2000
Miami;3966;49.5;0.283;16.3;30.4;45.3;0.307;15.3;30.4;1999-2000
Minnesota;3981;48.5;0.256;14.7;31.8;47.4;0.332;15.9;30.4;1999-2000
New York;3966;48.2;0.283;16.0;27.7;45.5;0.337;15.5;30.1;1999-2000
Charlotte;3956;47.5;0.376;15.3;28.3;47.8;0.265;16.5;28.8;1999-2000
Philadelphia;3966;45.7;0.329;16.5;33.5;46.6;0.303;18.5;32.0;1999-2000
Seattle;3956;48.7;0.282;14.8;31.2;48.3;0.259;16.1;32.7;1999-2000
Toronto;3951;46.4;0.300;14.7;32.4;48.0;0.323;16.1;31.4;1999-2000
Sacramento;3961;48.6;0.277;16.0;30.8;47.9;0.264;17.3;32.1;1999-2000
Detroit;3966;49.2;0.378;16.0;29.5;49.9;0.334;17.4;30.6;1999-2000
Milwaukee  ;3971;49.4;0.290;15.8;32.7;49.6;0.337;16.7;33.3;1999-2000
Orlando;3951;47.3;0.305;17.8;34.4;47.6;0.304;18.3;33.1;1999-2000
Dallas;3946;49.0;0.248;14.2;28.1;48.8;0.284;16.6;35.3;1999-2000
Boston;3946;47.4;0.316;15.9;32.7;49.8;0.407;17.7;29.5;1999-2000
Denver;3971;47.6;0.306;16.1;32.1;47.9;0.313;14.9;31.2;1999-2000
Houston;3966;49.4;0.322;18.1;32.1;48.1;0.259;14.3;30.9;1999-2000
Cleveland;3971;46.8;0.327;17.7;30.8;47.4;0.354;17.2;31.5;1999-2000
New Jersey;3966;46.8;0.297;14.3;29.8;49.1;0.298;17.5;34.3;1999-2000
Washington;3961;47.6;0.315;17.0;32.9;48.9;0.367;15.7;31.4;1999-2000
Atlanta ;3966;46.0;0.292;16.4;33.4;48.1;0.254;13.0;30.2;1999-2000
Vancouver;3971;47.4;0.320;18.1;32.6;50.2;0.301;16.1;32.1;1999-2000
Golden State;3951;44.4;0.301;16.3;34.6;49.9;0.344;16.7;32.7;1999-2000
Chicago;3961;44.3;0.338;20.8;33.1;48.4;0.324;16.6;32.4;1999-2000
L.A. Clippers;3940;45.8;0.270;16.9;28.6;50.7;0.297;14.9;32.6;1999-2000
San Antonio;2415;47.9;0.371;16.8;32.9;42.3;0.283;16.1;32.6;1998-1999
Utah;2435;48.5;0.417;18.2;32.9;44.1;0.336;16.6;32.3;1998-1999
Portland;2435;47.3;0.341;16.7;34.5;44.5;0.321;17.1;31.3;1998-1999
Indiana;2420;48.6;0.318;14.6;31.0;46.0;0.312;14.7;32.9;1998-1999
Miami;2405;49.4;0.354;17.2;29.9;43.9;0.307;15.6;31.7;1998-1999
Orlando;2410;45.6;0.318;18.1;36.0;47.3;0.256;19.1;31.5;1998-1999
Atlanta ;2415;43.6;0.378;17.0;35.3;43.7;0.278;15.4;29.9;1998-1999
Houston;2415;50.6;0.313;17.8;31.2;46.1;0.257;14.3;32.2;1998-1999
L.A. Lakers;2410;49.8;0.382;16.2;32.3;46.8;0.376;15.3;32.9;1998-1999
Detroit;2410;48.0;0.345;17.9;33.1;46.8;0.362;17.4;30.3;1998-1999
Milwaukee  ;2410;48.9;0.303;16.1;31.2;46.3;0.365;18.7;35.2;1998-1999
Philadelphia;2430;43.9;0.383;17.9;35.6;45.4;0.340;19.5;32.1;1998-1999
New York;2420;46.3;0.329;18.1;30.3;43.4;0.352;17.2;32.9;1998-1999
Phoenix;2410;48.1;0.303;14.8;30.6;48.5;0.311;17.7;32.9;1998-1999
Sacramento;2440;47.9;0.300;17.0;32.8;47.1;0.247;16.0;34.6;1998-1999
Charlotte;2430;48.5;0.372;17.2;26.6;46.1;0.326;16.5;32.2;1998-1999
Minnesota;2405;43.9;0.264;13.8;34.8;46.7;0.385;18.0;32.7;1998-1999
Seattle;2420;48.1;0.341;16.7;34.4;48.9;0.295;16.2;32.7;1998-1999
Toronto;2415;45.0;0.338;17.5;35.9;47.3;0.355;17.0;32.5;1998-1999
Cleveland;2410;46.4;0.381;17.8;29.5;46.8;0.359;18.6;34.4;1998-1999
Golden State;2425;43.4;0.282;16.7;36.7;44.5;0.398;16.0;31.0;1998-1999
Boston;2430;46.9;0.259;17.1;33.0;46.5;0.387;17.9;33.4;1998-1999
Dallas;2415;45.9;0.300;15.1;32.1;47.6;0.296;15.3;32.7;1998-1999
Washington;2410;46.8;0.302;16.1;30.8;47.4;0.371;17.3;32.7;1998-1999
New Jersey;2410;43.4;0.301;15.9;32.8;48.1;0.327;17.3;31.8;1998-1999
Denver;2405;45.9;0.332;16.0;31.9;49.9;0.333;15.2;34.0;1998-1999
Chicago;2414;42.4;0.309;17.3;29.9;48.3;0.329;17.4;31.6;1998-1999
L.A. Clippers;2425;45.4;0.306;17.3;33.2;50.3;0.375;17.0;35.4;1998-1999
Vancouver;2435;44.7;0.367;18.5;34.2;49.2;0.357;17.0;35.5;1998-1999
Chicago;3971;47.3;0.295;15.8;38.1;45.7;0.302;17.0;32.4;1997-1998
Utah;3956;51.0;0.433;16.9;35.2;47.1;0.357;15.5;31.6;1997-1998
L.A. Lakers;3966;51.9;0.420;16.0;33.9;46.7;0.335;16.3;34.4;1997-1998
Seattle;3951;52.1;0.327;15.3;32.1;47.8;0.308;18.6;36.5;1997-1998
Indiana;3966;50.2;0.343;15.8;30.5;45.3;0.325;16.7;34.3;1997-1998
Phoenix;3991;50.0;0.290;16.1;32.1;47.1;0.310;17.7;33.6;1997-1998
San Antonio;3966;49.3;0.350;17.8;32.6;43.7;0.294;14.1;30.4;1997-1998
Miami;3951;49.4;0.329;16.6;33.9;45.2;0.345;16.5;33.1;1997-1998
Charlotte;3956;49.5;0.345;16.6;32.6;49.3;0.306;16.5;30.9;1997-1998
Atlanta ;3976;48.1;0.364;16.5;35.6;46.8;0.265;15.1;33.1;1997-1998
Cleveland;3966;47.8;0.352;18.8;33.0;46.0;0.350;19.1;32.2;1997-1998
Portland;3966;47.6;0.348;18.3;35.5;46.0;0.346;15.3;31.5;1997-1998
Minnesota;3986;48.3;0.329;14.6;33.3;48.0;0.324;15.7;34.3;1997-1998
New Jersey;3976;46.3;0.339;15.3;38.3;49.9;0.345;19.2;35.0;1997-1998
New York;3966;47.6;0.283;16.9;31.9;45.5;0.376;16.7;29.7;1997-1998
Washington;3961;47.6;0.317;15.1;33.9;48.1;0.332;17.3;32.7;1997-1998
Houston;3966;49.6;0.326;17.0;32.4;49.9;0.279;15.3;32.8;1997-1998
Orlando;3966;45.2;0.331;17.2;37.0;47.8;0.274;17.2;35.4;1997-1998
Detroit;3991;47.2;0.359;16.0;33.2;47.4;0.326;16.9;33.2;1997-1998
Boston;3946;46.4;0.283;17.1;35.2;50.4;0.461;21.7;35.8;1997-1998
Milwaukee  ;3986;47.5;0.339;18.1;34.0;48.5;0.379;17.7;33.6;1997-1998
Philadelphia;3951;46.2;0.367;17.9;34.1;48.1;0.351;17.4;34.0;1997-1998
Sacramento;3946;46.4;0.314;16.5;32.8;48.2;0.310;16.3;35.7;1997-1998
Dallas;3981;45.8;0.257;15.6;30.6;48.8;0.274;16.3;36.8;1997-1998
Golden State;3966;42.7;0.278;17.8;35.6;46.9;0.339;15.0;33.6;1997-1998
Vancouver;3966;48.2;0.327;18.2;34.0;50.7;0.328;15.0;34.8;1997-1998
L.A. Clippers;3956;47.7;0.306;17.1;33.0;49.8;0.332;15.0;36.2;1997-1998
Toronto;3986;46.2;0.302;17.5;33.9;50.8;0.335;17.5;39.8;1997-1998
Denver;3946;44.0;0.335;17.5;33.7;50.6;0.378;16.6;36.1;1997-1998
Chicago;3946;51.1;0.267;14.7;37.4;47.1;0.266;17.2;33.0;1996-1997
Utah;3966;53.1;0.389;16.7;32.8;48.0;0.387;17.7;31.3;1996-1997
Miami;3961;50.7;0.324;17.7;32.4;46.5;0.339;17.9;32.2;1996-1997
Houston;3971;52.0;0.307;17.8;31.8;48.1;0.261;15.3;30.8;1996-1997
New York;3971;50.1;0.340;19.2;32.3;46.3;0.381;17.5;30.0;1996-1997
Seattle;3956;51.0;0.358;16.3;34.1;49.0;0.326;20.3;34.3;1996-1997
Atlanta ;3961;49.8;0.310;16.8;33.4;47.2;0.260;17.3;33.0;1996-1997
L.A. Lakers;3986;49.6;0.351;15.9;34.3;47.8;0.321;17.5;34.2;1996-1997
Charlotte;3961;51.8;0.313;16.2;31.6;49.6;0.279;15.4;33.9;1996-1997
Detroit;3966;51.2;0.327;14.6;30.2;48.7;0.268;16.8;32.5;1996-1997
Portland;3971;50.3;0.350;17.8;35.8;47.1;0.362;16.3;30.9;1996-1997
Orlando;3971;48.1;0.304;16.8;33.6;49.5;0.288;17.7;34.9;1996-1997
Washington;3971;50.5;0.296;16.7;32.6;49.1;0.302;17.6;32.4;1996-1997
Cleveland;3971;49.3;0.297;17.0;32.2;48.2;0.379;19.1;31.9;1996-1997
Minnesota;3956;48.5;0.339;16.4;32.3;48.6;0.334;16.9;35.1;1996-1997
Phoenix;3971;50.8;0.317;15.1;29.7;50.7;0.291;16.6;33.7;1996-1997
Indiana;3986;49.0;0.374;17.8;33.8;48.0;0.343;17.1;33.2;1996-1997
L.A. Clippers;3986;48.2;0.310;17.0;33.9;49.9;0.359;17.8;34.6;1996-1997
Sacramento;3962;48.5;0.313;17.4;34.8;49.6;0.358;16.4;33.9;1996-1997
Milwaukee  ;3946;49.6;0.334;17.2;32.9;50.1;0.346;16.1;33.1;1996-1997
Golden State;3981;49.3;0.332;18.2;34.7;51.8;0.312;16.6;35.2;1996-1997
Toronto;3966;48.1;0.303;17.7;35.0;50.4;0.356;17.6;34.3;1996-1997
New Jersey;3956;45.6;0.286;16.6;37.6;50.3;0.327;16.1;33.1;1996-1997
Dallas;3961;46.9;0.297;17.7;33.2;50.0;0.305;17.1;35.0;1996-1997
Philadelphia;3956;47.0;0.358;17.9;35.9;51.0;0.303;16.0;34.6;1996-1997
Denver;3986;48.6;0.298;17.5;32.4;50.1;0.275;13.6;33.4;1996-1997
San Antonio;3946;47.2;0.302;17.1;34.4;51.4;0.320;16.2;35.7;1996-1997
Boston;3981;47.4;0.316;16.7;32.9;53.9;0.337;18.0;34.2;1996-1997
Vancouver;3956;47.1;0.269;17.6;32.5;51.0;0.308;16.9;38.2;1996-1997
