index,Columna,Tipo de Dato,N̼mero de Observaciones,Ejemplo de Valor
Team,Team,object,1708,Boston
TS%,TS%,float64,1349,0.6
eFG%,eFG%,float64,1349,0.566
Total S%,Total S%,float64,1349,166.4
ORB%,ORB%,float64,1349,22.1
DRB%,DRB%,float64,1349,78.5
TRB%,TRB%,float64,1349,50.7
AST%,AST%,float64,1349,63.2
TOV%_x,TOV%_x,float64,1349,12
STL%,STL%,float64,1349,6.3
BLK%,BLK%,float64,1349,9.3
PPS,PPS,float64,1349,1.3
FIC40,FIC40,float64,1349,78.1
ORtg,ORtg,float64,1349,118
DRtg,DRtg,float64,1349,111.5
eDiff,eDiff,float64,1349,6.5
Poss,Poss,object,1349,"8,196.4"
Pace,Pace,float64,1349,98.5
Season,Season,object,1708,2022-2023
#,#,float64,1638,27
GP,GP,float64,1638,82
MPG,MPG,float64,1468,48.7
PPG,PPG,float64,1638,117.9
FGM,FGM,float64,1638,42.2
FGA,FGA,float64,1638,88.8
FG%,FG%,float64,1638,0.475
3PM,3PM,float64,1224,16
3PA,3PA,float64,1224,42.6
3P%,3P%,float64,1224,0.377
FTM,FTM,float64,1638,17.5
FTA,FTA,float64,1638,21.6
FT%,FT%,float64,1638,0.812
ORB,ORB,float64,1349,9.7
DRB,DRB,float64,1349,35.6
RPG,RPG,float64,1349,45.3
APG,APG,float64,1638,26.7
SPG,SPG,float64,1349,6.4
BPG,BPG,float64,1349,5.2
TOV,TOV,float64,1349,13.4
PF,PF,float64,1638,18.8
Dbl Dbl,Dbl Dbl,float64,1349,74
Tpl Dbl,Tpl Dbl,float64,1349,3
40 Pts,40 Pts,float64,1349,14
20 Reb,20 Reb,float64,1349,0
20 Ast,20 Ast,float64,1349,0
5 Stl,5 Stl,float64,1349,2
5 Blk,5 Blk,float64,1349,0
High Game,High Game,float64,1349,142
MOV,MOV,float64,1349,6.5
Techs,Techs,float64,1349,36
HOB,HOB,float64,1349,1.632
Ast/TO,Ast/TO,float64,1349,2
Stl/TO,Stl/TO,float64,1349,0.5
FT/FGA,FT/FGA,float64,1349,0.197
W's,W's,float64,1349,57
L's,L's,float64,1349,25
Win %,Win %,float64,1349,0.695
Total MIN,Total MIN,float64,802,3996
EFG%,EFG%,float64,802,56.6
FTA RATE,FTA RATE,float64,802,0.243
TOV%_y,TOV%_y,float64,802,13.3
OREB%,OREB%,float64,802,25.5
OPP EFG%,OPP EFG%,float64,802,52.8
OPP FTA RATE,OPP FTA RATE,float64,802,0.234
OPP TOV%,OPP TOV%,float64,802,12.6
OPP OREB%,OPP OREB%,float64,802,25.4
PTS/DIFF,PTS/DIFF,float64,627,6.5
FGM/DIFF,FGM/DIFF,float64,627,0.4
FGA/DIFF,FGA/DIFF,float64,627,-1.4
FG%/DIFF,FG%/DIFF,float64,627,1.2
3PM/DIFF,3PM/DIFF,float64,627,4.4
3PA/DIFF,3PA/DIFF,float64,627,8.8
3P%/DIFF,3P%/DIFF,float64,627,3.1
FTM/DIFF,FTM/DIFF,float64,627,1.2
FTA/DIFF,FTA/DIFF,float64,627,0.4
FT%/DIFF,FT%/DIFF,float64,627,4.3
OR/DIFF,OR/DIFF,float64,627,0
DR/DIFF,DR/DIFF,float64,627,1.3
REB/DIFF,REB/DIFF,float64,627,1.3
AST/DIFF,AST/DIFF,float64,627,3.5
STL/DIFF,STL/DIFF,float64,627,-0.2
BLK/DIFF,BLK/DIFF,float64,627,1.3
TO/DIFF,TO/DIFF,float64,627,0.7
PF/DIFF,PF/DIFF,float64,625,-0.3
PTS/ OPP,PTS/ OPP,float64,657,111.4
FGM/ OPP,FGM/ OPP,float64,657,41.8
FGA/ OPP,FGA/ OPP,float64,657,90.2
FG%/ OPP,FG%/ OPP,float64,657,46.3
3PM/ OPP,3PM/ OPP,float64,657,11.6
3PA/ OPP,3PA/ OPP,float64,657,33.7
3P%/ OPP,3P%/ OPP,float64,657,34.5
FTM/ OPP,FTM/ OPP,float64,657,16.2
FTA/ OPP,FTA/ OPP,float64,657,21.1
FT%/ OPP,FT%/ OPP,float64,657,76.9
OR/ OPP,OR/ OPP,float64,657,9.7
DR/ OPP,DR/ OPP,float64,657,34.3
REB/ OPP,REB/ OPP,float64,657,44
AST/ OPP,AST/ OPP,float64,657,23.1
STL/ OPP,STL/ OPP,float64,657,6.6
BLK/ OPP,BLK/ OPP,float64,657,3.9
TO/ OPP,TO/ OPP,float64,657,12
PF/ OPP,PF/ OPP,float64,657,19.1