index,Variable,Tipo,Categorías,Intervalo
0,Team,Categórico,"['Boston' 'Chicago' 'Washington' 'Providence' 'Cleveland' 'Pittsburgh'
 'St.Louis' 'Toronto' 'NewYork' 'Detroit' 'Philadelphia' 'Baltimore'
 'Rochester' 'Minneapolis' 'FortWayne' 'Indianapolis' 'Anderson'
 'Syracuse' 'Tri-Cities' 'Sheboygan' 'Waterloo' 'Milwaukee' 'Cincinnati'
 'L.A.Lakers' 'GoldenState' 'Seattle' 'SanDiego' 'Phoenix' 'Atlanta'
 'Portland' 'Buffalo' 'Houston' 'KansasCity' 'NewOrleans' 'Denver'
 'SanAntonio' 'Indiana' 'NewJersey' 'Utah' 'Dallas' 'L.A.Clippers'
 'Sacramento' 'Miami' 'Charlotte' 'Orlando' 'Minnesota' 'Vancouver'
 'Memphis' 'OklahomaCity' 'Brooklyn']",NaN
1,TS%,Numérico,NaN,"[0.2920927313669755, 0.61]"
2,eFG%,Numérico,NaN,"[0.2464065708418891, 0.575]"
3,Total S%,Numérico,NaN,"[114.0, 173.2]"
4,ORB%,Numérico,NaN,"[17.9, 39.1]"
5,DRB%,Numérico,NaN,"[61.5, 81.7]"
6,TRB%,Numérico,NaN,"[40.29103039288361, 54.7]"
7,AST%,Numérico,NaN,"[46.7, 72.7]"
8,TOV%_x,Numérico,NaN,"[9.9, 18.8]"
9,STL%,Numérico,NaN,"[5.8, 13.6]"
10,BLK%,Numérico,NaN,"[3.8, 12.3]"
11,PPS,Numérico,NaN,"[1.0, 1.4]"
12,FIC40,Numérico,NaN,"[44.4, 83.0]"
13,ORtg,Numérico,NaN,"[92.2, 119.4]"
14,DRtg,Numérico,NaN,"[91.3, 120.1]"
15,eDiff,Numérico,NaN,"[-15.3, 13.5]"
16,Poss,Numérico,NaN,"[4248.9, 9323.1]"
17,Pace,Numérico,NaN,"[81.6, 113.4]"
18,Season,Categórico,"['1946-1947' '1947-1948' '1948-1949' '1949-1950' '1950-1951' '1951-1952'
 '1952-1953' '1953-1954' '1954-1955' '1955-1956' '1956-1957' '1957-1958'
 '1958-1959' '1959-1960' '1960-1961' '1961-1962' '1962-1963' '1963-1964'
 '1964-1965' '1965-1966' '1966-1967' '1967-1968' '1968-1969' '1969-1970'
 '1970-1971' '1971-1972' '1972-1973' '1973-1974' '1974-1975' '1975-1976'
 '1976-1977' '1977-1978' '1978-1979' '1979-1980' '1980-1981' '1981-1982'
 '1982-1983' '1983-1984' '1984-1985' '1985-1986' '1986-1987' '1987-1988'
 '1988-1989' '1989-1990' '1990-1991' '1991-1992' '1992-1993' '1993-1994'
 '1994-1995' '1995-1996' '1996-1997' '1997-1998' '1998-1999' '1999-2000'
 '2000-2001' '2001-2002' '2002-2003' '2003-2004' '2004-2005' '2005-2006'
 '2006-2007' '2007-2008' '2008-2009' '2009-2010' '2010-2011' '2011-2012'
 '2012-2013' '2013-2014' '2014-2015' '2015-2016' '2016-2017' '2017-2018'
 '2018-2019' '2019-2020' '2020-2021' '2021-2022' '2022-2023']",NaN
19,GP,Numérico,NaN,"[35, 82]"
20,MPG,Numérico,NaN,"[48.0, 49.0]"
21,PPG,Numérico,NaN,"[60.1, 126.5]"
22,FGM,Numérico,NaN,"[22.4, 49.9]"
23,FGA,Numérico,NaN,"[70.7, 119.6]"
24,FG%,Numérico,NaN,"[0.246, 0.545]"
25,3PM,Numérico,NaN,"[0.0, 16.7]"
26,3PA,Numérico,NaN,"[0.0, 45.4]"
27,3P%,Numérico,NaN,"[0.0, 0.428]"
28,FTM,Numérico,NaN,"[12.2, 31.9]"
29,FTA,Numérico,NaN,"[16.6, 42.4]"
30,FT%,Numérico,NaN,"[0.59, 0.839]"
31,ORB,Numérico,NaN,"[7.6, 18.5]"
32,DRB,Numérico,NaN,"[24.9, 42.2]"
33,RPG,Numérico,NaN,"[35.6, 54.3]"
34,APG,Numérico,NaN,"[4.5, 31.4]"
35,SPG,Numérico,NaN,"[5.5, 12.9]"
36,BPG,Numérico,NaN,"[2.4, 8.7]"
37,TOV,Numérico,NaN,"[11.0, 24.5]"
38,PF,Numérico,NaN,"[16.6, 32.1]"
39,Dbl Dbl,Numérico,NaN,"[0.0, 163.0]"
40,Tpl Dbl,Numérico,NaN,"[0.0, 42.0]"
41,40 Pts,Numérico,NaN,"[0.0, 37.0]"
42,20 Reb,Numérico,NaN,"[0.0, 39.0]"
43,20 Ast,Numérico,NaN,"[0.0, 10.0]"
44,5 Stl,Numérico,NaN,"[0.0, 35.0]"
45,5 Blk,Numérico,NaN,"[0.0, 48.0]"
46,High Game,Numérico,NaN,"[102.0, 186.0]"
47,MOV,Numérico,NaN,"[-15.2, 12.2]"
48,Techs,Numérico,NaN,"[0.0, 67.0]"
49,HOB,Numérico,NaN,"[0.0, 1.727]"
50,Ast/TO,Numérico,NaN,"[0.9, 2.2]"
51,Stl/TO,Numérico,NaN,"[0.3, 0.9]"
52,FT/FGA,Numérico,NaN,"[0.143, 0.334]"
53,W's,Numérico,NaN,"[7.0, 73.0]"
54,L's,Numérico,NaN,"[9.0, 72.0]"
55,Win %,Numérico,NaN,"[0.106, 0.89]"
56,Total MIN,Numérico,NaN,"[2405.0, 4016.0]"
57,EFG%,Numérico,NaN,"[42.4, 57.5]"
58,FTA RATE,Numérico,NaN,"[0.194, 0.433]"
59,TOV%_y,Numérico,NaN,"[11.2, 20.8]"
60,OREB%,Numérico,NaN,"[21.6, 38.3]"
61,OPP EFG%,Numérico,NaN,"[42.3, 57.6]"
62,OPP FTA RATE,Numérico,NaN,"[0.202, 0.461]"
63,OPP TOV%,Numérico,NaN,"[11.5, 21.7]"
64,OPP OREB%,Numérico,NaN,"[22.5, 39.8]"
65,PTS/DIFF,Numérico,NaN,"[-13.9, 11.6]"
66,FGM/DIFF,Numérico,NaN,"[-5.6, 4.6]"
67,FGA/DIFF,Numérico,NaN,"[-7.5, 8.9]"
68,FG%/DIFF,Numérico,NaN,"[-6.0, 6.1]"
69,3PM/DIFF,Numérico,NaN,"[-4.0, 5.9]"
70,3PA/DIFF,Numérico,NaN,"[-10.9, 15.5]"
71,3P%/DIFF,Numérico,NaN,"[-9.2, 8.3]"
72,FTM/DIFF,Numérico,NaN,"[-5.7, 6.6]"
73,FTA/DIFF,Numérico,NaN,"[-7.4, 8.8]"
74,FT%/DIFF,Numérico,NaN,"[-11.4, 10.1]"
75,OR/DIFF,Numérico,NaN,"[-4.2, 4.1]"
76,DR/DIFF,Numérico,NaN,"[-5.4, 6.6]"
77,REB/DIFF,Numérico,NaN,"[-9.6, 8.4]"
78,AST/DIFF,Numérico,NaN,"[-6.6, 7.7]"
79,STL/DIFF,Numérico,NaN,"[-2.5, 3.4]"
80,BLK/DIFF,Numérico,NaN,"[-3.2, 3.8]"
81,TO/DIFF,Numérico,NaN,"[-4.6, 4.1]"
82,PF/DIFF,Numérico,NaN,"[-5.2, 4.8]"
83,PTS/ OPP,Numérico,NaN,"[-7.0, 123.1]"
84,FGM/ OPP,Numérico,NaN,"[-3.6, 46.1]"
85,FGA/ OPP,Numérico,NaN,"[-2.5, 94.0]"
86,FG%/ OPP,Numérico,NaN,"[-3.6, 50.7]"
87,3PM/ OPP,Numérico,NaN,"[-2.2, 14.8]"
88,3PA/ OPP,Numérico,NaN,"[-5.1, 40.6]"
89,3P%/ OPP,Numérico,NaN,"[-5.6, 41.1]"
90,FTM/ OPP,Numérico,NaN,"[-4.1, 24.7]"
91,FTA/ OPP,Numérico,NaN,"[-5.6, 32.4]"
92,FT%/ OPP,Numérico,NaN,"[-6.3, 80.7]"
93,OR/ OPP,Numérico,NaN,"[-2.6, 15.0]"
94,DR/ OPP,Numérico,NaN,"[-2.9, 37.7]"
95,REB/ OPP,Numérico,NaN,"[-5.4, 49.0]"
96,AST/ OPP,Numérico,NaN,"[-5.2, 27.1]"
97,STL/ OPP,Numérico,NaN,"[-1.8, 9.9]"
98,BLK/ OPP,Numérico,NaN,"[-1.7, 6.9]"
99,TO/ OPP,Numérico,NaN,"[-2.9, 18.6]"
100,PF/ OPP,Numérico,NaN,"[-3.5, 25.7]"
101,Start_Year,Numérico,NaN,"[1946, 2022]"
102,Year_Diff,Numérico,NaN,"[0.0, 1.0]"